Date : 2024-02-16 21:22:23
Directory : h:\unity\SE-LOCM
Total : 779 files,  78486 codes, 19310 comments, 16793 blanks, all 114589 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| C#                      |        744 |     75,408 |     19,237 |     16,210 |    110,855 |
| UnityShader             |         14 |      1,852 |         72 |        517 |      2,441 |
| JSON                    |          7 |        845 |          0 |          4 |        849 |
| Markdown                |          5 |        207 |          0 |         61 |        268 |
| UnityAssemblyDefinition |          7 |        114 |          0 |          0 |        114 |
| XML                     |          1 |         54 |          1 |          0 |         55 |
| CSV                     |          1 |          6 |          0 |          1 |          7 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                            |        779 |     78,486 |     19,310 |     16,793 |    114,589 |
| . (Files)                                                                                                                                                                                    |          1 |          2 |          0 |          0 |          2 |
| .vs                                                                                                                                                                                          |          3 |         12 |          0 |          0 |         12 |
| SE_LOCM                                                                                                                                                                                      |        775 |     78,472 |     19,310 |     16,793 |    114,575 |
| SE_LOCM\Assets                                                                                                                                                                               |        772 |     77,794 |     19,310 |     16,791 |    113,895 |
| SE_LOCM\Assets\DOTween                                                                                                                                                                       |          8 |      1,295 |        555 |        222 |      2,072 |
| SE_LOCM\Assets\DOTween\Modules                                                                                                                                                               |          8 |      1,295 |        555 |        222 |      2,072 |
| SE_LOCM\Assets\Fungus                                                                                                                                                                        |        752 |     76,194 |     18,718 |     16,503 |    111,415 |
| SE_LOCM\Assets\Fungus (Files)                                                                                                                                                                |          1 |         15 |          0 |          0 |         15 |
| SE_LOCM\Assets\FungusExamples                                                                                                                                                                |         12 |        305 |         37 |         66 |        408 |
| SE_LOCM\Assets\FungusExamples (Files)                                                                                                                                                        |          1 |         14 |          0 |          0 |         14 |
| SE_LOCM\Assets\FungusExamples\FirstPerson                                                                                                                                                    |          5 |        152 |         25 |         31 |        208 |
| SE_LOCM\Assets\FungusExamples\FirstPerson\Scripts                                                                                                                                            |          5 |        152 |         25 |         31 |        208 |
| SE_LOCM\Assets\FungusExamples\FungusLua                                                                                                                                                      |          1 |         17 |          2 |          8 |         27 |
| SE_LOCM\Assets\FungusExamples\FungusLua\Bindings                                                                                                                                             |          1 |         17 |          2 |          8 |         27 |
| SE_LOCM\Assets\FungusExamples\Localization                                                                                                                                                   |          1 |          6 |          0 |          1 |          7 |
| SE_LOCM\Assets\FungusExamples\MonoBehEvents                                                                                                                                                  |          1 |         21 |          2 |          4 |         27 |
| SE_LOCM\Assets\FungusExamples\Playground                                                                                                                                                     |          1 |         30 |          0 |         16 |         46 |
| SE_LOCM\Assets\FungusExamples\TextMeshPro                                                                                                                                                    |          2 |         65 |          8 |          6 |         79 |
| SE_LOCM\Assets\Fungus\Scripts                                                                                                                                                                |        432 |     35,957 |      5,109 |      7,413 |     48,479 |
| SE_LOCM\Assets\Fungus\Scripts (Files)                                                                                                                                                        |          2 |         67 |          5 |          5 |         77 |
| SE_LOCM\Assets\Fungus\Scripts\Commands                                                                                                                                                       |        218 |     14,413 |      1,415 |      2,959 |     18,787 |
| SE_LOCM\Assets\Fungus\Scripts\Commands (Files)                                                                                                                                               |        123 |      8,459 |        933 |      1,932 |     11,324 |
| SE_LOCM\Assets\Fungus\Scripts\Commands\Collection                                                                                                                                            |         36 |      1,310 |        176 |        282 |      1,768 |
| SE_LOCM\Assets\Fungus\Scripts\Commands\Input                                                                                                                                                 |          3 |        267 |         13 |         49 |        329 |
| SE_LOCM\Assets\Fungus\Scripts\Commands\LeanTween                                                                                                                                             |          5 |        281 |         25 |         68 |        374 |
| SE_LOCM\Assets\Fungus\Scripts\Commands\Math                                                                                                                                                  |         18 |        626 |         98 |        121 |        845 |
| SE_LOCM\Assets\Fungus\Scripts\Commands\Priority                                                                                                                                              |          4 |         84 |         22 |         15 |        121 |
| SE_LOCM\Assets\Fungus\Scripts\Commands\Property                                                                                                                                              |         21 |      2,987 |        108 |        405 |      3,500 |
| SE_LOCM\Assets\Fungus\Scripts\Commands\Rigidbody2D                                                                                                                                           |          3 |        166 |         15 |         38 |        219 |
| SE_LOCM\Assets\Fungus\Scripts\Commands\Scene                                                                                                                                                 |          1 |         27 |          5 |          6 |         38 |
| SE_LOCM\Assets\Fungus\Scripts\Commands\Vector3                                                                                                                                               |          4 |        206 |         20 |         43 |        269 |
| SE_LOCM\Assets\Fungus\Scripts\Components                                                                                                                                                     |         35 |      6,566 |      1,679 |      1,496 |      9,741 |
| SE_LOCM\Assets\Fungus\Scripts\Editor                                                                                                                                                         |         76 |      8,570 |        732 |      1,744 |     11,046 |
| SE_LOCM\Assets\Fungus\Scripts\Editor (Files)                                                                                                                                                 |         55 |      8,059 |        644 |      1,606 |     10,309 |
| SE_LOCM\Assets\Fungus\Scripts\Editor\PopupContent                                                                                                                                            |          3 |        385 |         34 |         84 |        503 |
| SE_LOCM\Assets\Fungus\Scripts\Editor\VariableTypes                                                                                                                                           |         18 |        126 |         54 |         54 |        234 |
| SE_LOCM\Assets\Fungus\Scripts\EventHandlers                                                                                                                                                  |         28 |      1,544 |        205 |        322 |      2,071 |
| SE_LOCM\Assets\Fungus\Scripts\EventHandlers (Files)                                                                                                                                          |         14 |        959 |        133 |        216 |      1,308 |
| SE_LOCM\Assets\Fungus\Scripts\EventHandlers\MonoBehaviour                                                                                                                                    |         14 |        585 |         72 |        106 |        763 |
| SE_LOCM\Assets\Fungus\Scripts\Interfaces                                                                                                                                                     |         10 |        116 |         95 |         52 |        263 |
| SE_LOCM\Assets\Fungus\Scripts\Signals                                                                                                                                                        |          5 |        134 |         83 |         34 |        251 |
| SE_LOCM\Assets\Fungus\Scripts\Utils                                                                                                                                                          |         21 |      2,653 |        638 |        454 |      3,745 |
| SE_LOCM\Assets\Fungus\Scripts\VariableTypes                                                                                                                                                  |         37 |      1,894 |        257 |        347 |      2,498 |
