id,典籍名,效果,介绍
0,九章算术,通关主线剧情前九章几起九章残卷后自动合成。可以在最终章的战斗中使用。,《九章算术》九卷，是现存最早的中国古代数学著作之一，《算经十书》中最重要的一种。其作者不可考。后集成书约于公元前100年，汇集了周朝以来的古代数学知识，由西汉张苍汇整。《九章算术》是人类科学史上应用数学的“算经之首”，也是中国古代算法的扛鼎之作，更是一部与《几何原本》并列为世界两大数学体系的代表作。全书总共九章，分为二百四十六题二百零二术数学题，并提供其解法，这些算法要比欧洲同类算法早1500多年，对世界数学发展产生了重要影响。《九章算术》在整数论、分数论、比例算法、开平方和开立方、面积和体积、盈不足算法、线性方程组解法、正负数概念及加减运算法则、勾股定理的应用等方面都取得了当时世界领先的成就，对中国古代数学的发展产生了决定性的影响，《九章算术》成书后，中国的数学家们大都以该书为学习、研究数学的重要著作，见诸史籍者就有东汉的马续、郑玄、刘洪、徐岳；三国的阚泽、陈帜、刘徽；南北朝的祖冲之父子；唐代的李淳风、李籍；北宋的贾宪，南宋的杨辉；清代的戴震、李潢等人。其中许多人为之作注，以刘徽的注释质量最高，影响最大，他以注释的形式完善了中国古代数学的理论体系。后来李淳风整理《算经十书》时，就是以刘徽的《九章算术》注释本为底本的。现在传世的《九章算术》由本文、刘徽注和李淳风注三部分组成。贾宪、杨辉、秦九韶、吴敬、程大位等人则按《九章算术》的模式从事著述。《九章算术》的体例、方法以及术语，成为近两千年中中国古代数学家所尊奉的规范，中国古代数学中的绝大多数成果都可以在《九章算术》中找到源头。
1,方田章残卷,仅能通过通关主线剧情方田章后获得，可以用于合成《九章算术》全本。,《九章算术》全书共有246个应用问题，分别隶属于九个章节。其中方田章主要是田亩面积的计算和分数的计算，是世界上最早对分数进行系统叙述的著作。
2,粟米章残卷,仅能通过通关主线剧情粟米章后获得，可以用于合成《九章算术》全本。,《九章算术》全书共有246个应用问题，分别隶属于九个章节。其中粟米章主要是粮食交易的计算方法，其中涉及许多比例问题。
3,衰分章残卷,仅能通过通关主线剧情衰分章后获得，可以用于合成《九章算术》全本。,《九章算术》全书共有246个应用问题，分别隶属于九个章节。其中衰分章主要内容为分配比例的算法。
4,少广章残卷,仅能通过通关主线剧情少广章后获得，可以用于合成《九章算术》全本。,《九章算术》全书共有246个应用问题，分别隶属于九个章节。其中少广章主要讲开平方和开立方的方法。
5,商功章残卷,仅能通过通关主线剧情商功章后获得，可以用于合成《九章算术》全本。,《九章算术》全书共有246个应用问题，分别隶属于九个章节。其中商功章主要是土石方和用工量等工程数学问题，以体积的计算为主。
6,均输章残卷,仅能通过通关主线剧情均输章后获得，可以用于合成《九章算术》全本。,《九章算术》全书共有246个应用问题，分别隶属于九个章节。其中均输章主要内容为计算税收等更加复杂的比例问题。
7,盈不足章残卷,仅能通过通关主线剧情盈不足章后获得，可以用于合成《九章算术》全本。,《九章算术》全书共有246个应用问题，分别隶属于九个章节。其中盈不足章主要内容为双设法的问题。
8,方程章残卷,仅能通过通关主线剧情方程章后获得，可以用于合成《九章算术》全本。,《九章算术》全书共有246个应用问题，分别隶属于九个章节。其中方程章主要是联立一次方程组的解法和正负数的加减法，在世界数学史上是第一次出现。
9,勾股章残卷,仅能通过通关主线剧情勾股章后获得，可以用于合成《九章算术》全本。,《九章算术》全书共有246个应用问题，分别隶属于九个章节。其中勾股章主要研究勾股定理在当时社会生活的应用。
