id,怪池规模,怪池1,怪池2,怪池3,怪池4,怪池5,blank
103,1,0;100;0,,,,,
104,3,0;100;100,0;100;101,0;100;102,,,
108,3,0;100;100,0;100;101,0;100;102,,,
109,3,0;100;100,0;100;101,0;100;102,,,
110,3,0;100;100,0;100;101,0;100;102,,,
114,5,0;100;100,0;100;101,0;100;102,0;100;103,0;100;104,
116,5,0;100;100,0;100;101,0;100;102,0;100;103,0;100;104,
119,5,0;100;100,0;100;101,0;100;102,0;100;103,0;100;104,
121,5,0;100;105,0;100;106,0;100;107,0;100;108,0;100;109,
123,5,0;100;105,0;100;106,0;100;107,0;100;108,0;100;109,
124,5,0;100;105,0;100;106,0;100;107,0;100;108,0;100;109,
126,5,100;100;100,100;100;101,100;100;102,100;100;103,100;100;104,
130,5,0;105;105,0;105;106,0;105;107,0;105;108,0;105;109,
133,1,106;105;107,,,,,
