ID,名字,立绘,设定
1,叶羽,Character/YHN/yhn_1_01,在“九章”经营万事屋（占卜店）的少女。性格固执，性情古怪，但心地很善良，不太会拒绝他人的请求。\n助战技能：[占卜]获得1点算术值;抽3张牌.
2,花菀,Character/HMU/hmu_1_01,叶羽的儿时玩伴。喜欢好吃的东西，靠售卖粮食营生。\n助战技能：[补给]立刻恢复25点体力值;获得5层[回复].
3,曜,Character/you,在“九章”从事捕鱼的少女。总是很开朗、精力充沛，运动神经拔群。\n助战技能：[捕捞]基础攻击力&防御力+2;对全体敌人造成3点伤害3次;获得3回合的3层[防御术].
4,陆彼,Character/rby,戴雅的妹妹，在官府担任书吏。有些内向。\n助战技能：[精算]获得1点算术值;获得5回合1层[算术精进];基础攻击力+1.
5,郭南,Character/kan,“九章”的著名工匠。很多宏伟的大工程均出自她的手笔。\n助战技能：[构筑]立刻获得30点护盾值;获得5层[坚壁清野].
6,戴雅,Character/dia,“九章”的地方官员。聪明美丽，绝不允许歪风邪气的完美主义者。\n助战技能：[平乱]立刻对全体敌人造成20点伤害.随后对全体敌人造成5点伤害3次.
7,千歌,Character/cka,“九章”历史悠久的客栈的老板娘三姐妹中的老幺。不怕生，讨厌失败。\n助战技能：[迎客]获得2点算术值.抽1张牌.获得3回合的5层[防御术].
8,黎紫,Character/rko,孜孜求学的学者。性格平和，但充满好奇心，有着自命不凡的一面。\n助战技能：[开智]消除你身上所有的负面效果.基础防御力+2.
9,鞠笠,Character/mri,岛上城堡里居住的领主末裔。不怎么在人前展露身姿。\n助战技能：[威势]获得1层[护甲].基础攻击力+1.
110,傲慢,UI/battle/傲慢,
210,暴食,UI/battle/暴食,
310,嫉妒,UI/battle/嫉妒,
410,懒惰,UI/battle/懒惰,
510,暴怒,UI/battle/暴怒,
610,贪婪,UI/battle/贪婪,
710,色欲,UI/battle/色欲,
810,毁灭,UI/battle/毁灭,
910,生命,UI/battle/生命,
