序号,《九章》原文问题,《九章》原文答案,可作为选项的错误答案
101,今有田广十五步，从十六步。问为田几何？,一亩,一亩半
102,有田广十二步，从十四步。问为田几何？,一百六十八步,一百五十步
103,今有田广一里，从一里。问为田几何？,三顷七十五亩,二顷七十五亩
104,有田广二里，从三里。问为田几何？,二十二顷五十亩,二十顷五十亩
105,今有十八分之十二，问约之得几何？,三分之二,四分之三
106,有九十一分之四十九，问约之得几何？,十三分之七,十二分之五
107,今有三分之一，五分之二，问合之得几何？,十五分之十一,十四分之七
108,有三分之二，七分之四，九分之五，问合之得几何？,得一、六十三分之五十,得二、十一分之十
109,有二分之一，三分之二，四分之三，五分之四，问合之得几何？,得二、六十分之四十三,得三、十二分之七
110,今有九分之八，减其五分之一，问余几何？,四十五分之三十一,四十三分之二十一
111,有四分之三，减其三分之一，问余几何？,十二分之五,七分之六
112,今有八分之五，二十五分之十六，问孰多？多几何？,二十五分之十六多，多二百分之三,八分之五多，多二百分之三
113,有九分之八，七分之六，问孰多？多几何？,九分之八多，多六十三分之二,七分之六多，多六十三分之二
114,有二十一分之八，五十分之十七，问孰多？多几何？,二十一分之八多，多一千五十分之四十三,五十分之十七多，多一千五十分之四十三
115,今有三分之一，三分之二，四分之三。问减多益少，各几何而平？,减四分之三者二，三分之二者一，并，以益三分之一，而各平于十二分之七,减四分之三者一，三分之二者二，并，以益三分之一，而各平于十二分之七
116,有二分之一，三分之二，四分之三。问减多益少，各几何而平？,减三分之二者一，四分之三者四，并，以益二分之一，而各平于三十六分之二十三,减三分之二者四，四分之三者一，并，以益二分之一，而各平于三十六分之二十三
117,今有七人，分八钱三分钱之一。问人得几何？,人得一钱二十一分钱之四,人得一钱五分钱之一
118,有三人三分人之一，分六钱三分钱之一、四分钱之三。问人得几何？,人得二钱八分钱之一,人得二钱七分钱之一
119,今有田广七分步之四，从五分步之三，问为田几何？,三十五分步之十二,三十五分步之十七
120,有田广九分步之七，从十一分步之九，问为田几何？,十一分步之七,十一分步之三
121,有田广五分步之四，从九分步之五，问为田几何？,九分步之四,九分步之五
122,今有田广三步三分步之一，从五步五分步之二，问为田几何？,十八步,十六步
123,有田广七步四分步之三，从十五步九分步之五，问为田几何？,一百二十步九分步之五,一百一十步九分步之五
124,有田广十八步七分步之五，从二十三步十一分步之六，问为田几何？,一亩二百步十一分步之七,一亩三百步十一分步之六
125,今有圭田广十二步，正从二十一步，问为田几何？,一百二十六步,一百三十六步
126,有圭田广五步二分步之一，从八步三分步之二，问为田几何？,二十三步六分步之五,二十五步六分步之五
127,今有邪田，一头广三十步，一头广四十二步，正从六十四步。问为田几何？,九亩一百四十四步,八亩一百四十五步
128,又有邪田，正广六十五步，一畔从一百步，一畔从七十二步。问为田几何？,二十三亩七十步,三十三亩一十步
129,今有箕田，舌广二十步，踵广五步，正从三十步，问为田几何？,一亩一百三十五步,一亩一百二十五步
130,又有箕田，舌广一百一十七步，踵广五十步，正从一百三十五步，问为田几何？,四十六亩二百三十二步半,四十八亩二百三十步半
131,今有圆田，周三十步，径十步。问为田几何？,七十五步,八十五步
132,又有圆田，周一百八十一步，径六十步三分步之一。问为田几何？,十一亩九十步十二分步之一,十二亩九十步十分步之一
133,今有弧田，弦二十步，矢十五步。问为田几何？,一亩九十七步半,一亩九十步半
134,又有弧田，弦七十八步二分步之一，矢十三步九分步之七。问为田几何？,二亩一百五十五步八十一分步之五十六,二亩一百五十步八十一分步之五十三
135,今有环田，中周九十二步，外周一百二十二步，径五步。问为田几何？,二亩五十五步,二亩一十五步
136,又有环田，中周六十二步四分步之三，外周一百一十三步二分步之一，径十二步三分步之二。问为田几何？,四亩一百五十六步四分步之一,四亩一百五十步五分步之一
201,今有粟一斗，欲为厉米。问得几何？,为厉米六升,为厉米八升
202,今有粟一斗，欲为小麦。以粟求小麦，二十七之，百而一。问得几何？,为小麦二升一十分升之七,为小麦四升一十分升之七
203,今有粟九斗八升，欲为大麦。以粟求大麦，二十七之，二十五而一。问得几何？,一十斗五升二十五分升之二十一,一十斗五升二十五分升之二
204,今有粟二斗三升，欲为厉饭。以粟求厉饭，三之，二而一。问得几何？,为厉饭三斗四升半,为厉饭三斗五升
205,今有粟三斗六升，欲为卑饭。以粟求卑饭，二十七之，二十五而一。问得几何？,为卑饭三斗八升二十五分升之二十二,为卑饭三斗八升二十分升之十一
206,今有粟八斗六升，欲为饭。以粟求饭，二十四之，二十五而一。问得几何？,为饭八斗二升二十五分升之一十四,为饭八斗二升一十五分升之一十四
207,有粟九斗八升，欲为御饭。以粟求御饭，二十一之，二十五而一。问得几何？,为御饭八斗二升二十五分升之八,为御饭八斗三升一十五分升之八
208,今有粟三斗少半升，欲为菽。以粟求菽，九之，十而一。问得几何？,为菽二斗七升一十分升之三。,为菽二斗九升一十分升之三。
209,今有粟四斗一升太半升，欲为答。以粟求答，九之，十而一。问得几何？,为答三斗七升半,为答三斗六升半
210,今有粟五斗太半升，欲为麻。以粟求麻，九之，十而一。问得几何？,为麻四斗五升五分升之三。,为麻五斗四升五分升之三。
211,今有粟一十斗八升五分升之二，欲为麦。以粟求麦，九之，十而一问得几何？,为麦九斗七升二十五分升之一十四,为麦七斗九升二十五分升之一十四
212,今有粟七斗五升七分升之四，欲为稻。以粟求稻，六之，五而一。问得几何？,为稻九斗三十五分升之二十四,为稻九斗三十分升之一十九
213,今有粟七斗八升，欲为豉。以粟求豉，六十三之，五十而一。问得几何？,为豉九斗八升二十五分升之七,为豉八斗九升二十五分升之七
214,今有粟五斗五升，欲为飧。以粟求飧，九之，五而一。问得几何？,为飧九斗九升,为飧八斗八升
215,今有粟四斗，欲为熟菽。以粟求熟菽，二百七之，百而一。问得几何？,为熟菽八斗二升五分升之四,为熟菽九斗一升五分升之四
216,今有粟二斗，欲为粱。以粟求粱，七之，二而一。问得几何？,为粱七斗,为粱九斗
217,今有厉米十五斗五升五分升之二，欲为粟。以厉米求粟，五之，三而一。问得几何？,为粟二十五斗九升,为粟二十三斗七升
218,今有卑米二斗，欲为粟。以卑米求粟，五十之，二十七而一。问得几何？,为粟三斗七升二十七分升之一,为粟三斗九升二十五分升之一
